cells     f_x           f_y          f_z      
 1167 6.6047203044  0.0000001031 0.0000000000 
 2247 6.9679298724 -0.0000000103 0.0000000000 
 4302 7.0779158358  0.0000817047 0.0000000000 
 8268 7.1160652038  0.0001911781 0.0000000000 
15990 7.1227744092 -0.0000746224 0.0000000000 
