cells      f_x           f_y          f_z      
 1167 -0.2576039342 -0.0000000052 0.0000000000 
 2247 -0.2560008682  0.0000000168 0.0000000000 
 4302 -0.2554151371  0.0001979442 0.0000000000 
 8268 -0.1681954379 -0.0002275522 0.0000000000 
15990 -0.1386275777  0.0000789930 0.0000000000 
